type,uri,dc.id,collection,notation,"prefLabel",altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,type_status,layer,typevoorschrift,typevoorschriften.uitdovend
skos:Concept,ct:04105_02,,,04105_02,"structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,L,detail,ONWAAR,ONWAAR
skos:Concept,ct:04106_01,,,04106_01,"gemengd openruimte met cultuurhistorische waarde",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:04106_00,,,04106_00,"gemengd openruimte met cultuurhistorische waarde",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:04107_00,,,04107_00,"watergevoelig openruimtegebied",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:04201_01,,,04201_01,"bosbuffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,ONWAAR,ONWAAR
skos:Concept,ct:04201_00,,,04201_00,"bosbuffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,ONWAAR,ONWAAR
skos:Concept,ct:04201_02,,,04201_02,"bosbuffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,ONWAAR,ONWAAR
skos:Concept,ct:04202_03,,,04202_03,"buffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:04202_01,,,04202_01,"buffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:04202_02,,,04202_02,"buffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:04202_00,,,04202_00,"buffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:04202_04,,,04202_04,"buffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:04203_00,,,04203_00,"natuurbuffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,ONWAAR,ONWAAR
skos:Concept,ct:04203_01,,,04203_01,"natuurbuffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,ONWAAR,ONWAAR
skos:Concept,ct:04203_02,,,04203_02,"natuurbuffer",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:04204_00,,,04204_00,"gemengd buffergebied",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:04205_00,,,04205_00,"koppelingsgebied",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,/,gv,ONWAAR,ONWAAR
skos:Concept,ct:04205_01,,,04205_01,"koppelingsgebied",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,/,gv,ONWAAR,ONWAAR
skos:Concept,ct:04207_00,,,04207_00,"overige buffergebieden (vb dijk)",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,/,gv,ONWAAR,ONWAAR
skos:Concept,ct:04207_01,,,04207_01,"overige buffergebieden (vb dijk)",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,/,detail,ONWAAR,ONWAAR
skos:Concept,ct:04208_00,,,04208_00,"buffer overgangsgebieden",,ct:042,,,,,,,,,,,cs:plan_legende,,,,,,,,,detail,ONWAAR,ONWAAR
skos:Concept,ct:04301_03,,,04301_03,"park",,ct:043,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04301_01,,,04301_01,"park",,ct:043,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04301_00,,,04301_00,"park",,ct:043,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04301_02,,,04301_02,"park",,ct:043,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04302_01,,,04302_01,"zone voor park (natuureducatieve en laagdynamische recreatie) [131_1 ]",,ct:043,,,,,,,,,,,cs:plan_legende,,,,,,,,L,gv,ONWAAR,ONWAAR
skos:Concept,ct:04302_00,,,04302_00,"zone voor park (natuureducatieve en laagdynamische recreatie) [131_1 ]",,ct:043,,,,,,,,,,,cs:plan_legende,,,,,,,,L,gv,ONWAAR,ONWAAR
skos:Concept,ct:05101_06,,,05101_06,"bosgebied",,ct:051,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:05101_05,,,05101_05,"bosgebied",,ct:051,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:05101_04,,,05101_04,"bosgebied",,ct:051,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:05101_00,,,05101_00,"bosgebied",,ct:051,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:05101_01,,,05101_01,"bosgebied",,ct:051,,,,,,,,,,,cs:plan_legende,,,,,,,,d,na,WAAR,ONWAAR
skos:Concept,ct:05103_00,,,05103_00,"nabestemming bosgebied [zie rup 10_1 turnhout, art. 16,2]",,ct:051,,,,,,,,,,,cs:plan_legende,,,,,,,,d,na,ONWAAR,ONWAAR
skos:Concept,ct:06101_00,,,06101_00,"agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06101_01,,,06101_01,"agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06101_06,,,06101_06,"agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06101_05,,,06101_05,"agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06101_02,,,06101_02,"agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:06101_03,,,06101_03,"agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06101_04,,,06101_04,"agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06102_01,,,06102_01,"bouwvrij agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06102_02,,,06102_02,"bouwvrij agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06102_03,,,06102_03,"bouwvrij agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:06102_00,,,06102_00,"bouwvrij agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:X5,,,X5,"gemengd agrarisch gebied",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,d,,ONWAAR,ONWAAR
skos:Concept,ct:06104_00,,,06104_00,"agrarische bedrijvenzone",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,WAAR,ONWAAR
skos:Concept,ct:06105_00,,,06105_00,"perimeter voor glastuinbouwbedrijven",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,,detail,ONWAAR,ONWAAR
skos:Concept,ct:06106_00,,,06106_00,"agrarisch gebied met landschappelijke kenmerken",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:06107_00,,,06107_00,"agrarisch gebied met ecologisch belang",,ct:061,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
